option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
AX,100,"11, 21",71,62,53,45,37,2023,mj
AY,100,"12, 22",71,62,53,45,37,2023,mj
AZ,100,"13, 23",71,62,53,45,37,2023,mj
P1,75,50,54,45,36,27,18,2023,mj
AX,100,"11, 21",69,60,52,45,38,2025,mj
AY,100,"12, 22",69,60,52,45,38,2025,mj
AZ,100,"13, 23",69,60,52,45,38,2025,mj
AX,100,"11, 21",70,61,53,46,39,2023,on
AY,100,"12, 22",70,61,53,46,39,2023,on
AZ,100,"13, 23",70,61,53,46,39,2023,on
P1,75,50,54,45,36,27,18,2023,on
AX,100,"11, 21",68,59,52,45,39,2024,on
AY,100,"12, 22",68,59,52,45,39,2024,on
AZ,100,"13, 23",68,59,52,45,39,2024,on
AX,100,"11, 21",69,60,53,46,39,2025,on
AY,100,"12, 22",69,60,53,46,39,2025,on
AZ,100,"13, 23",69,60,53,46,39,2025,on
AX,100,"11, 21",71,62,54,46,38,2022,mj
AY,100,"12, 22",71,62,54,46,38,2022,mj
AZ,100,"13, 23",71,62,54,46,38,2022,mj
P1,75,50,51,42,33,24,15,2022,mj
AX,100,"11, 21",69,60,52,45,38,2024,mj
AY,100,"12, 22",69,60,52,45,38,2024,mj
AZ,100,"13, 23",69,60,52,45,38,2024,mj
AX,100,"11, 21",70,61,53,46,39,2022,on
AY,100,"12, 22",70,61,53,46,39,2022,on
AZ,100,"13, 23",70,61,53,46,39,2022,on
P1,75,50,51,42,33,24,15,2022,on
