option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AY,"12, 22, 32, 42",147,130,113,95,78,61,2022,fm,
BY,"32, 42, 88",149,130,111,92,74,56,2022,fm,
BYJ,"32, 42",74,63,52,40,28,17,2022,fm,
CY,"32, 42, 98",149,130,111,93,75,57,2022,fm,
EV,"32, 42, 78",153,135,117,99,81,64,2022,fm,
SY,"12, 22",–,65,58,51,44,38,2022,fm,
AY,"12, 22, 32, 42",165,144,123,104,86,68,2024,fm,200.0
BT,"32, 42, 87",163,142,121,102,84,66,2024,fm,200.0
BY,"32, 42, 88",163,142,121,102,84,66,2024,fm,200.0
CY,"32, 42, 98",162,141,120,102,84,67,2024,fm,200.0
EV,"32, 42, 78",162,142,122,103,84,66,2024,fm,200.0
SY,"12, 22",–,70,60,52,45,38,2024,fm,100.0
AY,"12, 22, 32, 42",164,143,122,104,86,68,2025,fm,200.0
BY,"32, 42, 88",163,142,121,103,85,67,2025,fm,200.0
CY,"32, 42, 98",161,140,119,101,84,67,2025,fm,200.0
EV,"32, 42, 78",165,144,123,104,86,68,2025,fm,200.0
SY,"12, 22",–,69,59,52,45,38,2025,fm,100.0
CQ,"31, 41, 98",154,136,118,99,80,61,2022,mj,200.0
CR,"32, 42, 99",154,136,118,99,80,61,2022,mj,200.0
CRN,"32, 42",79,69,59,46,33,21,2022,mj,100.0
CX,"31, 41, 97",154,136,118,99,80,61,2022,mj,200.0
CY,"32, 42, 98",154,136,118,99,80,61,2022,mj,200.0
CYN,"32, 42",79,69,59,46,33,21,2022,mj,100.0
P1,50,–,51,42,33,24,15,2022,mj,75.0
P2,"50, 60",120,102,84,66,48,30,2022,mj,150.0
P3,"60, 80",127,111,95,78,61,45,2022,mj,150.0
SX,"11, 21",–,67,58,50,43,36,2022,mj,100.0
SY,"12, 22",–,67,58,50,43,36,2022,mj,100.0
SZ,"13, 23",–,67,58,50,43,36,2022,mj,100.0
W1,"32, 41, 85",154,136,118,98,79,60,2022,mj,200.0
WA,"12, 22, 32, 41",156,138,120,101,82,63,2022,mj,200.0
1W,"12, 21, 32, 42",160,140,120,102,84,66,2023,mj,200.0
AX,"11, 21, 31, 41",160,140,120,102,84,66,2023,mj,200.0
AY,"12, 22, 32, 42",160,140,120,102,84,66,2023,mj,200.0
AZ,"13, 23, 33, 43",160,140,120,102,84,66,2023,mj,200.0
BX,"31, 41, 87",158,139,120,102,84,66,2023,mj,200.0
BY,"32, 42, 88",158,139,120,102,84,66,2023,mj,200.0
BZ,"33, 43, 89",158,139,120,102,84,66,2023,mj,200.0
CP,"33, 43, 97",157,138,119,101,83,66,2023,mj,200.0
CQ,"31, 41, 98",157,138,119,101,83,66,2023,mj,200.0
CR,"32, 42, 99",157,138,119,101,83,66,2023,mj,200.0
CX,"31, 41, 97",157,138,119,101,83,66,2023,mj,200.0
CY,"32, 42, 98",157,138,119,101,83,66,2023,mj,200.0
P1,50,–,54,45,36,27,18,2023,mj,75.0
P2,"50, 60",126,108,90,72,54,36,2023,mj,150.0
P3,"60, 80",130,114,98,81,64,48,2023,mj,150.0
SW,"12, 21",–,68,58,50,43,36,2023,mj,100.0
SX,"11, 21",–,68,58,50,43,36,2023,mj,100.0
SY,"12, 22",–,68,58,50,43,36,2023,mj,100.0
SZ,"13, 23",–,68,58,50,43,36,2023,mj,100.0
AX,"11, 21, 31, 41",160,139,118,101,84,68,2024,mj,200.0
AY,"12, 22, 32, 42",160,139,118,101,84,68,2024,mj,200.0
AZ,"13, 23, 33, 43",160,139,118,101,84,68,2024,mj,200.0
BX,"31, 41, 87",160,139,118,101,84,67,2024,mj,200.0
BY,"32, 42, 88",160,139,118,101,84,67,2024,mj,200.0
BZ,"33, 43, 89",160,139,118,101,84,67,2024,mj,200.0
CP,"33, 43, 97",159,138,117,100,84,68,2024,mj,200.0
CQ,"31, 41, 98",159,138,117,100,84,68,2024,mj,200.0
CR,"32, 42, 99",159,138,117,100,84,68,2024,mj,200.0
CX,"31, 41, 97",159,138,117,100,84,68,2024,mj,200.0
CY,"32, 42, 98",159,138,117,100,84,68,2024,mj,200.0
P2,"50, 60",126,108,90,72,54,36,2024,mj,150.0
SX,"11, 21",–,68,58,51,44,37,2024,mj,100.0
SY,"12, 22",–,68,58,51,44,37,2024,mj,100.0
SZ,"13, 23",–,68,58,51,44,37,2024,mj,100.0
WS,"11, 22",–,68,58,51,44,37,2024,mj,100.0
AX,"11, 21, 31, 41",158,137,116,99,83,67,2025,mj,200.0
AY,"12, 22, 32, 42",158,137,116,99,83,67,2025,mj,200.0
AZ,"13, 23, 33, 43",158,137,116,99,83,67,2025,mj,200.0
BX,"31, 41, 87",159,138,117,100,84,68,2025,mj,200.0
BY,"32, 42, 88",159,138,117,100,84,68,2025,mj,200.0
BZ,"33, 43, 89",159,138,117,100,84,68,2025,mj,200.0
CQ,"31, 41, 98",157,136,115,99,83,68,2025,mj,200.0
CR,"32, 42, 99",157,136,115,99,83,68,2025,mj,200.0
CX,"31, 41, 97",157,136,115,99,83,68,2025,mj,200.0
CY,"32, 42, 98",157,136,115,99,83,68,2025,mj,200.0
SX,"11, 21",–,67,57,50,43,36,2025,mj,100.0
SY,"12, 22",–,67,57,50,43,36,2025,mj,100.0
SZ,"13, 23",–,67,57,50,43,36,2025,mj,100.0
WA,"12, 22, 32, 41",158,137,116,99,83,67,2025,mj,200.0
AX,"11, 21, 31, 41",156,136,116,97,79,61,2022,on,200.0
AY,"12, 22, 32, 42",156,136,116,97,79,61,2022,on,200.0
AZ,"13, 23, 33, 43",156,136,116,97,79,61,2022,on,200.0
BS,"31, 41, 89",157,137,117,98,79,61,2022,on,200.0
BT,"32, 42, 87",157,137,117,98,79,61,2022,on,200.0
BU,"33, 43, 88",157,137,117,98,79,61,2022,on,200.0
BX,"31, 41, 87",157,137,117,98,79,61,2022,on,200.0
BY,"32, 42, 88",157,137,117,98,79,61,2022,on,200.0
BZ,"33, 43, 89",157,137,117,98,79,61,2022,on,200.0
CX,"31, 41, 97",155,135,115,96,77,59,2022,on,200.0
CY,"32, 42, 98",155,135,115,96,77,59,2022,on,200.0
CYN,"32, 42",80,68,56,43,31,19,2022,on,100.0
CZ,"33, 43, 99",155,135,115,96,77,59,2022,on,200.0
CZN,"33, 43",80,68,56,43,31,19,2022,on,100.0
EV,"32, 42, 78",153,135,117,99,81,63,2022,on,200.0
SX,"11, 21",–,66,57,50,43,36,2022,on,100.0
SY,"12, 22",–,66,57,50,43,36,2022,on,100.0
SZ,"13, 23",–,66,57,50,43,36,2022,on,100.0
AX,"11, 21, 31, 41",161,141,121,102,84,66,2023,on,200.0
AY,"12, 22, 32, 42",161,141,121,102,84,66,2023,on,200.0
AZ,"13, 23, 33, 43",161,141,121,102,84,66,2023,on,200.0
BT,"32, 42, 87",162,142,122,103,84,65,2023,on,200.0
BU,"33, 43, 88",162,142,122,103,84,65,2023,on,200.0
BX,"31, 41, 87",162,142,122,103,84,65,2023,on,200.0
BY,"32, 42, 88",162,142,122,103,84,65,2023,on,200.0
BZ,"33, 43, 89",162,142,122,103,84,65,2023,on,200.0
CX,"31, 41, 97",159,140,121,102,83,65,2023,on,200.0
CY,"32, 42, 98",159,140,121,102,83,65,2023,on,200.0
CZ,"33, 43, 99",159,140,121,102,83,65,2023,on,200.0
SX,"11, 21",–,67,57,50,43,37,2023,on,100.0
SY,"12, 22",–,67,57,50,43,37,2023,on,100.0
SZ,"13, 23",–,67,57,50,43,37,2023,on,100.0
AX,"11, 21, 31, 41",159,139,119,102,85,68,2024,on,200.0
AY,"12, 22, 32, 42",159,139,119,102,85,68,2024,on,200.0
AZ,"13, 23, 33, 43",159,139,119,102,85,68,2024,on,200.0
BT,"32, 42, 87",161,141,121,103,85,68,2024,on,200.0
BU,"33, 43, 88",161,141,121,103,85,68,2024,on,200.0
BX,"31, 41, 87",161,141,121,103,85,68,2024,on,200.0
BY,"32, 42, 88",161,141,121,103,85,68,2024,on,200.0
BZ,"33, 43, 86/89",161,141,121,103,85,68,2024,on,200.0
CX,"31, 41, 97",160,140,120,102,85,68,2024,on,200.0
CY,"32, 42, 98",160,140,120,102,85,68,2024,on,200.0
CZ,"33, 43, 99",160,140,120,102,85,68,2024,on,200.0
EV,"32, 42, 78",163,143,123,105,87,69,2024,on,200.0
SX,"11, 21",–,66,56,49,43,37,2024,on,100.0
SY,"12, 22",–,66,56,49,43,37,2024,on,100.0
SZ,"13, 23",–,66,56,49,43,37,2024,on,100.0
AX,"11, 21, 31, 41",158,139,120,102,85,68,2025,on,200.0
AY,"12, 22, 32, 42",158,139,120,102,85,68,2025,on,200.0
AZ,"13, 23, 33, 43",158,139,120,102,85,68,2025,on,200.0
BS,"31, 41, 89",160,140,120,102,84,67,2025,on,200.0
BT,"32, 42, 87",160,140,120,102,84,67,2025,on,200.0
BU,"33, 43, 88",160,140,120,102,84,67,2025,on,200.0
BX,"31, 41, 87",160,140,120,102,84,67,2025,on,200.0
BY,"32, 42, 88",160,140,120,102,84,67,2025,on,200.0
BZ,"33, 43, 89",160,140,120,102,84,67,2025,on,200.0
CX,"31, 41, 97",159,139,119,102,85,68,2025,on,200.0
CY,"32, 42, 98",159,139,119,102,85,68,2025,on,200.0
CZ,"33, 43, 99",159,139,119,102,85,68,2025,on,200.0
SX,"11, 21",–,66,57,50,43,37,2025,on,100.0
SY,"12, 22",–,66,57,50,43,37,2025,on,100.0
SZ,"13, 23",–,66,57,50,43,37,2025,on,100.0
