option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month,a* a,a* a.1
AX,260.0,"11, 21, 31, 41, 51",208,183.0,158,135,113,91,2023,mj,,
AY,260.0,"12, 22, 33, 42, 52",195,171.0,147,125,104,83,2023,mj,,
AZ,260.0,"13, 23, 35, 43, 53",201,179.0,157,136,115,94,2023,mj,,
BX1,260.0,"41, 51, 84",209,182.0,155,132,110,88,2023,mj,,
BX2,260.0,"41, 51, 87",207,180.0,153,130,107,85,2023,mj,,
BY1,260.0,"42, 52, 85",186,162.0,138,116,94,73,2023,mj,,
BY2,260.0,"42, 52, 88",188,164.0,140,118,96,74,2023,mj,,
BZ1,260.0,"43, 53, 86",203,179.0,155,132,110,88,2023,mj,,
CP1,260.0,"43, 53, 94",194,172.0,150,128,106,85,2023,mj,,
CQ1,260.0,"41, 51, 95",205,175.0,145,124,103,83,2023,mj,,
CQ2,260.0,"41, 51, 98",204,174.0,144,123,102,81,2023,mj,,
CR1,260.0,"42, 52, 96",188,166.0,144,123,102,81,2023,mj,,
CR2,260.0,"42, 52, 99",186,164.0,142,121,100,79,2023,mj,,
CX1,260.0,"41, 51, 94",198,174.0,150,129,109,89,2023,mj,,
CY1,260.0,"42, 52, 95",199,171.0,143,121,99,77,2023,mj,,
CY2,260.0,"42, 52, 98",198,170.0,142,119,97,75,2023,mj,,
HX,260.0,"11, 21, 32, 41, 51",209,184.0,159,137,115,93,2023,mj,,
HY,260.0,"12, 22, 34, 42, 52",196,172.0,148,126,105,84,2023,mj,,
P1,75.0,50,–,54.0,45,38,31,25,2023,mj,,
P2,150.0,"50, 60",124,108.0,92,77,63,49,2023,mj,,
P3,150.0,"60, 80",128,114.0,100,84,69,54,2023,mj,,
S1,130.0,"11, 21, 31",–,95.0,85,72,59,47,2023,mj,,
S2,130.0,"11, 21, 32",–,96.0,86,73,61,49,2023,mj,,
S3,130.0,"12, 22, 33",–,87.0,76,65,55,45,2023,mj,,
S4,130.0,"12, 22, 34",–,88.0,77,66,56,46,2023,mj,,
S5,130.0,"13, 23, 35",–,93.0,84,74,64,54,2023,mj,,
BT1,260.0,"42, 52, 84",193,175.0,157,135,113,91,2024,on,,
BT2,260.0,"42, 52, 87",194,176.0,158,135,113,91,2024,on,,
BU1,260.0,"43, 53, 85",192,167.0,142,121,101,81,2024,on,,
BU2,260.0,"43, 53, 88",196,171.0,146,125,104,84,2024,on,,
BY1,260.0,"42, 52, 85",185,162.0,139,118,97,77,2024,on,,
BY2,260.0,"42, 52, 88",189,166.0,143,122,101,80,2024,on,,
BZ1,260.0,"43, 53, 86",198,178.0,158,137,116,95,2024,on,,
CY1,260.0,"42, 52, 95",186,165.0,144,123,102,82,2024,on,,
CY2,260.0,"42, 52, 98",188,166.0,144,123,102,82,2024,on,,
CZ1,260.0,"43, 53, 96",190,167.0,144,124,104,84,2024,on,,
CZ2,260.0,"43, 53, 99",190,167.0,144,123,102,82,2024,on,,
EV,260.0,"42, 52, 75",189,169.0,149,126,103,81,2024,on,,
HY,260.0,"12, 22, 34, 42, 52",192,171.0,150,128,107,86,2024,on,,
HZ,260.0,"13, 23, 36, 43, 53",197,174.0,151,128,106,84,2024,on,,
S1,130.0,"11, 21, 31",–,91.0,80,70,60,50,2024,on,,
S3,130.0,"12, 22, 33",–,92.0,81,70,59,49,2024,on,,
S4,130.0,"12, 22, 34",–,92.0,81,70,60,50,2024,on,,
S5,130.0,"13, 23, 35",–,87.0,75,63,52,41,2024,on,,
S6,130.0,"13, 23, 36",–,90.0,79,67,55,44,2024,on,,
AY (AY1),,"12, 22, 33, 42, 52",187,164.0,141,118,95,72,2022,fm,,
AY (AY2),,"12, 22, 33",–,80.0,69,57,46,35,2022,fm,,
BY (BY1),,"42, 52, 85",195,172.0,149,125,102,79,2022,fm,,
BY (BY2),,"42, 52, 88",193,170.0,147,124,101,78,2022,fm,,
BY (BYJ),,"42, 52",98,82.0,66,53,40,28,2022,fm,,
CY (CY1),,"42, 52, 95",194,170.0,146,122,99,76,2022,fm,,
CY (CY2),,"42, 52, 98",191,167.0,143,120,97,74,2022,fm,,
CY (CYN),,"42, 52",98,82.0,66,53,40,28,2022,fm,,
DV (DV1),,"12, 22, 33, 42, 52",187,164.0,141,118,95,72,2022,fm,,
DV (DV2),,"42, 52, 75",194,171.0,148,126,104,82,2022,fm,,
DV (DV3),,"42, 52, 85",195,172.0,149,125,102,79,2022,fm,,
DV (DV4),,"42, 52, 88",193,170.0,147,124,101,78,2022,fm,,
DV (DV5),,"42, 52, 95",194,170.0,146,122,99,76,2022,fm,,
DV (DV6),,"42, 52, 98",191,167.0,143,120,97,74,2022,fm,,
DV (DV7),,"12, 22, 33",–,80.0,69,57,46,35,2022,fm,,
DV (DVJ),,"42, 52",98,82.0,66,53,40,28,2022,fm,,
DV (DVN),,"42, 52",98,82.0,66,53,40,28,2022,fm,,
EV,,"42, 52, 75",194,171.0,148,126,104,82,2022,fm,,
S3,,"12, 22, 33",–,80.0,69,57,46,35,2022,fm,,
AY,260.0,"12, 22, 33, 42, 52",196,175.0,154,131,109,87,2024,fm,,
BT1,260.0,"42, 52, 84",201,180.0,159,135,112,89,2024,fm,,
BT2,260.0,"42, 52, 87",202,181.0,160,137,114,91,2024,fm,,
BY1,260.0,"42, 52, 85",194,172.0,150,129,108,87,2024,fm,,
BY2,260.0,"42, 52, 88",195,173.0,151,130,109,88,2024,fm,,
CY1,260.0,"42, 52, 95",193,171.0,149,128,108,88,2024,fm,,
CY2,260.0,"42, 52, 98",195,172.0,149,128,108,88,2024,fm,,
EV,260.0,"42, 52, 75",195,172.0,149,127,105,84,2024,fm,,
S3,130.0,"12, 22, 33",–,90.0,80,68,56,45,2024,fm,,
AX,260.0,"11, 21, 31, 41, 51",199,175.0,151,130,109,88,2025,on,,
AY,260.0,"12, 22, 33, 42, 52",191,169.0,147,124,102,80,2025,on,,
AZ,260.0,"13, 23, 35, 43, 53",191,168.0,145,124,103,83,2025,on,,
BC1,260.0,"44, 54, 62",198,173.0,148,128,108,88,2025,on,,
BC2,260.0,"44, 54, 63",198,174.0,150,130,110,90,2025,on,,
BS1,260.0,"41, 51, 86",202,179.0,156,136,116,96,2025,on,,
BT1,260.0,"42, 52, 84",191,170.0,149,127,105,84,2025,on,,
BT2,260.0,"42, 52, 87",190,170.0,150,128,106,85,2025,on,,
BU1,260.0,"43, 53, 85",195,170.0,145,124,103,83,2025,on,,
BU2,260.0,"43, 53, 88",195,171.0,147,126,105,85,2025,on,,
BX1,260.0,"41, 51, 84",198,175.0,152,131,110,89,2025,on,,
BX2,260.0,"41, 51, 87",197,175.0,153,132,111,90,2025,on,,
BY1,260.0,"42, 52, 85",188,165.0,142,120,99,78,2025,on,,
BY2,260.0,"42, 52, 88",188,166.0,144,122,101,80,2025,on,,
BZ1,260.0,"43, 53, 86",202,179.0,156,136,116,96,2025,on,,
CN1,260.0,"44, 54, 96",195,171.0,147,125,104,83,2025,on,,
CN2,260.0,"44, 54, 99",197,174.0,151,129,107,86,2025,on,,
CY1,260.0,"42, 52, 95",194,172.0,150,128,106,84,2025,on,,
CY2,260.0,"42, 52, 98",194,172.0,150,128,106,85,2025,on,,
CZ1,260.0,"43, 53, 96",197,172.0,147,125,103,81,2025,on,,
CZ2,260.0,"43, 53, 99",199,175.0,151,128,106,84,2025,on,,
EV,260.0,"42, 52, 75",194,174.0,154,131,109,87,2025,on,,
HC,260.0,"14, 24, 38, 44, 54",195,171.0,147,126,105,85,2025,on,,
HY,260.0,"12, 22, 34, 42, 52",194,171.0,148,125,102,80,2025,on,,
HZ,260.0,"13, 23, 36, 43, 53",191,167.0,143,122,102,82,2025,on,,
S1,130.0,"11, 21, 31",–,90.0,79,68,58,48,2025,on,,
S3,130.0,"12, 22, 33",–,89.0,78,67,56,45,2025,on,,
S4,130.0,"12, 22, 34",–,91.0,79,67,56,45,2025,on,,
S5,130.0,"13, 23, 35",–,83.0,73,63,53,43,2025,on,,
S6,130.0,"13, 23, 36",–,82.0,71,61,51,42,2025,on,,
S7,130.0,"14, 24, 37",–,88.0,77,66,55,44,2025,on,,
S8,130.0,"14, 24, 38",–,87.0,75,64,53,43,2025,on,,
AX,260.0,"11, 21, 31, 41, 51",197,175.0,153,131,109,88,2023,on,,
AY,260.0,"12, 22, 33, 42, 52",184,163.0,142,120,99,78,2023,on,,
AZ,260.0,"13, 23, 35, 43, 53",190,168.0,146,125,104,83,2023,on,,
BS1,260.0,"41, 51, 86",198,178.0,158,136,114,93,2023,on,,
BT1,260.0,"42, 52, 84",192,172.0,152,127,103,79,2023,on,,
BT2,260.0,"42, 52, 87",193,173.0,153,129,105,81,2023,on,,
BU1,260.0,"43, 53, 85",194,172.0,150,128,106,84,2023,on,,
BU2,260.0,"43, 53, 88",195,173.0,151,129,107,85,2023,on,,
BX1,260.0,"41, 51, 84",201,180.0,159,134,110,86,2023,on,,
BX2,260.0,"41, 51, 87",202,181.0,160,136,112,88,2023,on,,
BY1,260.0,"42, 52, 85",185,164.0,143,121,99,77,2023,on,,
BY2,260.0,"42, 52, 88",186,165.0,144,122,100,78,2023,on,,
BZ1,260.0,"43, 53, 86",198,178.0,158,136,114,93,2023,on,,
CY1,260.0,"42, 52, 95",189,164.0,139,116,93,71,2023,on,,
CY2,260.0,"42, 52, 98",188,163.0,138,115,92,69,2023,on,,
CZ1,260.0,"43, 53, 96",187,167.0,147,125,103,82,2023,on,,
CZ2,260.0,"43, 53, 99",185,165.0,145,123,101,80,2023,on,,
EV,260.0,"42, 52, 75",186,164.0,142,119,96,74,2023,on,,
HY,260.0,"12, 22, 34, 42, 52",186,164.0,142,120,99,78,2023,on,,
HZ,260.0,"13, 23, 36, 43, 53",190,168.0,146,124,102,81,2023,on,,
P1,75.0,50,–,54.0,45,38,31,25,2023,on,,
S1,130.0,"11, 21, 31",–,90.0,79,69,59,49,2023,on,,
S3,130.0,"12, 22, 33",–,86.0,75,65,55,46,2023,on,,
S4,130.0,"12, 22, 34",–,87.0,75,65,55,46,2023,on,,
S5,130.0,"13, 23, 35",–,83.0,72,62,53,44,2023,on,,
S6,130.0,"13, 23, 36",–,83.0,72,62,52,42,2023,on,,
AZ,260.0,"13, 23, 35, 43, 53",190,171.0,152,132,112,92,2022,mj,,
BW1,260.0,"41, 52, 85",195,174.0,153,129,106,83,2022,mj,,
BW2,260.0,"41, 52, 88",193,172.0,151,128,105,82,2022,mj,,
BX1,260.0,"41, 51, 84",195,173.0,151,126,101,77,2022,mj,,
