option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting,unnamed: 4
AY,"12, 22, 33, 42, 52",161,141,121,101,82,63,2022,fm,,
BY1,"42, 52, 85",166,143,120,99,78,58,2022,fm,,
BY2,"42, 52, 88",166,143,120,99,78,58,2022,fm,,
BYJ,"42, 52",72,61,50,40,30,20,2022,fm,,
CY1,"42, 52, 95",156,135,114,94,75,56,2022,fm,,
CY2,"42, 52, 98",155,134,113,94,75,56,2022,fm,,
EV,"42, 52, 75",164,143,122,102,82,63,2022,fm,,
S3,"12, 22, 33",–,78,67,55,44,33,2022,fm,,
AY,"12, 22, 33, 42, 52",182,161,140,116,92,69,2023,fm,260,
BY1,"42, 52, 85",178,150,122,99,76,53,2023,fm,260,
BY2,"42, 52, 88",180,151,122,99,76,53,2023,fm,260,
CY1,"42, 52, 95",179,153,127,104,81,58,2023,fm,260,
CY2,"42, 52, 98",178,152,126,103,80,57,2023,fm,260,
EV,"42, 52, 75",179,156,133,109,86,63,2023,fm,260,
EVM,"42, 52",90,75,60,45,30,16,2023,fm,130,
S3,"12, 22, 33",–,83,74,62,50,39,2023,fm,130,
AY,"12, 22, 33, 42, 52",195,174,153,128,103,78,2024,fm,260,
BY1,"42, 52, 85",191,162,133,109,85,62,2024,fm,260,
BY2,"42, 52, 88",191,162,133,109,85,62,2024,fm,260,
CY1,"42, 52, 95",192,167,142,117,92,68,2024,fm,260,
CY2,"42, 52, 98",189,165,141,116,91,66,2024,fm,260,
EV,"42, 52, 75",183,165,147,122,97,73,2024,fm,260,
S3,"12, 22, 33",–,92,80,68,56,44,2024,fm,130,
AY,"12, 22, 33, 42, 52",197,175,153,128,104,80,2025,fm,260,
BY1,"42, 52, 85",198,168,138,113,88,64,2025,fm,260,
BY2,"42, 52, 88",195,166,137,112,87,63,2025,fm,260,
CY1,"42, 52, 95",190,166,142,118,94,71,2025,fm,260,
CY2,"42, 52, 98",193,169,145,121,97,74,2025,fm,260,
EV,"42, 52, 75",200,176,152,127,102,78,2025,fm,260,
S3,"12, 22, 33",–,91,81,69,57,46,2025,fm,130,
BX1,"41, 51, 84",190,163,136,108,80,52,2022,mj,260,
BX2,"41, 51, 87",190,163,136,108,80,52,2022,mj,260,
BXJ,"41, 51",90,75,60,44,28,13,2022,mj,130,
BY1,"42, 52, 85",190,161,132,107,82,57,2022,mj,260,
BY2,"42, 52, 88",190,161,132,107,82,57,2022,mj,260,
BYJ,"42, 52",96,78,60,44,28,13,2022,mj,130,
BZ1,"43, 53, 86",183,157,131,105,80,55,2022,mj,260,
CP1,"43, 53, 94",171,147,123,100,78,56,2022,mj,260,
CQ1,"41, 51, 95",174,150,126,102,78,54,2022,mj,260,
CQ2,"41, 51, 98",173,149,125,101,77,54,2022,mj,260,
CQN,"41, 51",90,75,60,44,28,13,2022,mj,130,
CR1,"42, 52, 96",177,150,123,101,79,57,2022,mj,260,
CR2,"42, 52, 99",176,149,122,100,78,56,2022,mj,260,
CRN,"42, 52",96,78,60,44,28,13,2022,mj,130,
CX1,"41, 51, 94",171,147,123,100,78,56,2022,mj,260,
CY1,"42, 52, 95",180,153,126,102,78,55,2022,mj,260,
CY2,"42, 52, 98",179,152,125,101,78,55,2022,mj,260,
CYN,"42, 52",96,78,60,44,28,13,2022,mj,130,
CZ1,"43, 53, 96",171,147,123,100,78,56,2022,mj,260,
CZ2,"43, 53, 99",170,146,122,99,77,55,2022,mj,260,
HX1,"11, 21, 32, 41, 51",176,150,124,99,75,51,2022,mj,260,
HY1,"12, 22, 34, 42, 52",186,154,122,98,75,52,2022,mj,260,
P1,50,–,54,44,34,24,15,2022,mj,75,
P2,"50, 60",129,109,88,68,49,30,2022,mj,150,
P3,"60, 80",132,115,97,79,62,45,2022,mj,150,
S1,"11, 21, 31",–,72,58,46,34,23,2022,mj,130,
S2,"11, 21, 32",–,72,58,46,34,23,2022,mj,130,
S3,"12, 22, 33",–,72,56,45,34,23,2022,mj,130,
S4,"12, 22, 34",–,73,56,45,34,23,2022,mj,130,
S5,"13, 23, 35",–,71,57,45,34,23,2022,mj,130,
BX1,"41, 51, 84",175,150,125,101,77,53,2023,mj,260,
BX2,"41, 51, 87",175,150,125,101,77,53,2023,mj,260,
BY1,"42, 52, 85",185,153,121,97,74,51,2023,mj,260,
BY2,"42, 52, 88",187,154,121,97,74,51,2023,mj,260,
BZ1,"43, 53, 86",174,149,124,100,76,53,2023,mj,260,
CP1,"43, 53, 94",181,155,129,107,85,63,2023,mj,260,
CQ1,"41, 51, 95",178,153,128,104,81,58,2023,mj,260,
CQ2,"41, 51, 98",177,152,127,103,80,57,2023,mj,260,
CR1,"42, 52, 96",189,158,127,105,83,61,2023,mj,260,
CR2,"42, 52, 99",189,158,127,104,82,60,2023,mj,260,
CX1,"41, 51, 94",181,155,129,107,85,63,2023,mj,260,
CY1,"42, 52, 95",186,156,126,102,79,56,2023,mj,260,
CY2,"42, 52, 98",185,155,125,101,78,55,2023,mj,260,
HX,"11, 21, 32, 41, 51",184,160,136,111,87,63,2023,mj,260,
HY,"12, 22, 34, 42, 52",197,161,125,102,79,56,2023,mj,260,
P1,50,–,55,45,39,33,28,2023,mj,75,
P2,"50, 60",129,110,91,79,68,57,2023,mj,150,
P3,"60, 80",131,115,99,85,72,59,2023,mj,150,
S1,"11, 21, 31",–,82,69,57,45,34,2023,mj,130,
S2,"11, 21, 32",–,82,69,57,45,33,2023,mj,130,
S3,"12, 22, 33",–,80,60,49,38,28,2023,mj,130,
S4,"12, 22, 34",–,80,60,49,38,28,2023,mj,130,
S5,"13, 23, 35",–,80,66,55,44,33,2023,mj,130,
AZ,"13, 23, 35, 43, 53",200,169,138,112,86,61,2024,mj,260,
BX1,"41, 51, 84",192,165,138,113,88,63,2024,mj,260,
BX2,"41, 51, 87",192,165,138,112,87,62,2024,mj,260,
BY1,"42, 52, 85",198,163,128,104,80,57,2024,mj,260,
BY2,"42, 52, 88",198,163,128,104,80,57,2024,mj,260,
