option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,120,"11, 21, 31",86,75,64,55,46,37,2025,mj
AY,120,"12, 22, 32",90,79,68,58,48,38,2025,mj
AZ,120,"13, 23, 33",90,79,68,58,48,38,2025,mj
AX,120,"11, 21, 31",96,83,70,60,50,40,2024,mj
AY,120,"12, 22, 32",96,83,70,60,50,40,2024,mj
AZ,120,"13, 23, 33",96,83,70,60,50,40,2024,mj
AX,120,"11, 21, 31",92,81,70,60,50,40,2025,on
AY,120,"12, 22, 32",92,81,70,60,50,40,2025,on
AZ,120,"13, 23, 33",92,81,70,60,50,40,2025,on
AX,120,"11, 21, 31",92,81,70,60,50,40,2024,on
AY,120,"12, 22, 32",92,81,70,60,50,40,2024,on
AZ,120,"13, 23, 33",92,81,70,60,50,40,2024,on
