id,pdf_links,subject_code,month,month_id,year
9706_on_2025,https://www.cambridgeinternational.org/Images/749690-accounting-9706-november-2025-grade-threshold-table.pdf,9706,november,on,2025
8679_on_2025,https://www.cambridgeinternational.org/Images/749691-afrikaans-as-level-8679-november-2025-grade-theshold-table.pdf,8679,november,on,2025
9680_on_2025,https://www.cambridgeinternational.org/Images/749692-arabic-a-level-9680-november-2025-grade-threshold-table.pdf,9680,november,on,2025
8680_on_2025,https://www.cambridgeinternational.org/Images/749693-arabic-language-as-level-8680-november-2025-grade-threshold-table.pdf,8680,november,on,2025
9479_on_2025,https://www.cambridgeinternational.org/Images/749694-art-and-design-9479-november-2025-grade-threshold-table.pdf,9479,november,on,2025
9484_on_2025,https://www.cambridgeinternational.org/Images/749695-biblical-studies-9484-november-2025-grade-threshold-table.pdf,9484,november,on,2025
9700_on_2025,https://www.cambridgeinternational.org/Images/749696-biology-9700-november-2025-grade-threshold-table.pdf,9700,november,on,2025
9609_on_2025,https://www.cambridgeinternational.org/Images/749697-business-9609-november-2025-grade-threshold-table.pdf,9609,november,on,2025
9980_on_2025,https://www.cambridgeinternational.org/Images/749719-cambridge-international-project-9980-november-2025-grade-threshold-table.pdf,9980,november,on,2025
9701_on_2025,https://www.cambridgeinternational.org/Images/749698-chemistry-9701-november-2025-grade-threshold-table.pdf,9701,november,on,2025
9868_on_2025,https://www.cambridgeinternational.org/Images/749699-chinese-language-and-literature-a-level-9868-november-2025-grade-threshold-table.pdf,9868,november,on,2025
8238_on_2025,https://www.cambridgeinternational.org/Images/749700-chinese-language-as-level-8238-november-2025-grade-threshold-table.pdf,8238,november,on,2025
9274_on_2025,https://www.cambridgeinternational.org/Images/749701-classical-studies-9274-november-2025-grade-threshold-table.pdf,9274,november,on,2025
9618_on_2025,https://www.cambridgeinternational.org/Images/749702-computer-science-9618-november-2025-grade-threshold-table.pdf,9618,november,on,2025
9705_on_2025,https://www.cambridgeinternational.org/Images/749703-design-and-technology-9705-november-2025-grade-threshold-table.pdf,9705,november,on,2025
9481_on_2025,https://www.cambridgeinternational.org/Images/749704-digital-media-design-9481-november-2025-grade-threshold-table.pdf,9481,november,on,2025
9482_on_2025,https://www.cambridgeinternational.org/Images/749705-drama-9482-november-2025-grade-threshold-table.pdf,9482,november,on,2025
9708_on_2025,https://www.cambridgeinternational.org/Images/749706-economics-9708-november-2025-grade-threshold-table.pdf,9708,november,on,2025
8021_on_2025,https://www.cambridgeinternational.org/Images/749707-english-general-paper-as-level-8021-november-2025-grade-threshold-table.pdf,8021,november,on,2025
9093_on_2025,https://www.cambridgeinternational.org/Images/749708-english-language-a-level-9093-november-2025-grade-threshold-table.pdf,9093,november,on,2025
8291_on_2025,https://www.cambridgeinternational.org/Images/749709-environmental-management-as-level-8291-november-2025-grade-threshold-table.pdf,8291,november,on,2025
8028_on_2025,https://www.cambridgeinternational.org/Images/749744-french-language-as-level-8028-november-2025-grade-threshold-table.pdf,8028,november,on,2025
