option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
SX,140,"02, 11",101,89,77,65,54,2024,mj
SY,140,"02, 12",101,89,77,65,54,2024,mj
SZ,140,"02, 13",101,89,77,65,54,2024,mj
SX,140,"02, 11",101,89,77,65,54,2025,mj
SY,140,"02, 12",101,89,77,65,54,2025,mj
SZ,140,"02, 13",101,89,77,65,54,2025,mj
TX,140,"11, 82/92",101,89,77,65,54,2025,mj
TY,140,"12, 82/92",101,89,77,65,54,2025,mj
SX,140,"02, 11",101,89,77,65,54,2024,on
SY,140,"02, 12",101,89,77,65,54,2024,on
SZ,140,"02, 13",101,89,77,65,54,2024,on
T1,140,"11, 82",101,89,77,65,54,2024,on
T2,140,"12, 82",101,89,77,65,54,2024,on
SX,140,"02, 11",101,89,77,65,54,2025,on
SY,140,"02, 12",101,89,77,65,54,2025,on
SZ,140,"02, 13",101,89,77,65,54,2025,on
TX,140,"11, 82/92",101,89,77,65,54,2025,on
TY,140,"12, 82/92",101,89,77,65,54,2025,on
