option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,300,"11, 21, 31, 41",215,187,159,132,106,80,2022,mj
AY,300,"12, 22, 32, 42",220,191,162,135,108,81,2022,mj
AZ,300,"13, 23, 33, 43",220,191,162,135,108,81,2022,mj
BX,300,"31, 41, 87",215,187,159,129,99,70,2022,mj
BXJ,150,"31, 41",103,89,75,59,44,29,2022,mj
BY,300,"32, 42, 88",214,188,162,134,106,78,2022,mj
BYJ,150,"32, 42",104,89,74,58,42,27,2022,mj
BZ,300,"33, 43, 89",214,188,162,134,106,78,2022,mj
SX,150,"11, 21",–,95,79,67,55,44,2022,mj
SY,150,"12, 22",–,99,83,70,58,46,2022,mj
SZ,150,"13, 23",–,99,83,70,58,46,2022,mj
AX,300,"11, 21, 31, 41",230,197,164,136,108,81,2023,mj
AY,300,"12, 22, 32, 42",232,199,166,138,111,84,2023,mj
AZ,300,"13, 23, 33, 43",232,199,166,138,111,84,2023,mj
BX,300,"31, 41, 87",229,198,167,140,114,88,2023,mj
BY,300,"32, 42, 88",233,202,171,144,117,90,2023,mj
BZ,300,"33, 43, 89",233,202,171,144,117,90,2023,mj
CX,300,"31, 41, 97",231,200,169,142,115,88,2023,mj
CY,300,"32, 42, 98",231,200,169,142,115,88,2023,mj
CZ,300,"33, 43, 99",231,200,169,142,115,88,2023,mj
SX,150,"11, 21",–,94,76,63,50,37,2023,mj
SY,150,"12, 22",–,96,78,65,52,40,2023,mj
SZ,150,"13, 23",–,96,78,65,52,40,2023,mj
AX,300,"11, 21, 31, 41",226,191,156,129,102,76,2024,mj
AY,300,"12, 22, 32, 42",236,202,168,141,114,87,2024,mj
AZ,300,"13, 23, 33, 43",236,202,168,141,114,87,2024,mj
BX,300,"31, 41, 87",224,191,158,130,103,76,2024,mj
BY,300,"32, 42, 88",233,200,167,139,112,85,2024,mj
BZ,300,"33, 43, 89",233,200,167,139,112,85,2024,mj
CX,300,"31, 41, 97",231,199,167,139,111,83,2024,mj
CY,300,"32, 42, 98",238,206,174,145,117,89,2024,mj
CZ,300,"33, 43, 99",238,206,174,145,117,89,2024,mj
SX,150,"11, 21",–,94,74,61,49,37,2024,mj
SY,150,"12, 22",–,98,79,66,54,42,2024,mj
SZ,150,"13, 23",–,98,79,66,54,42,2024,mj
AX,300,"11, 21, 31, 41",228,200,172,144,117,90,2025,mj
AY,300,"12, 22, 32, 42",228,200,172,145,118,91,2025,mj
AZ,300,"13, 23, 33, 43",228,200,172,145,118,91,2025,mj
BX,300,"31, 41, 87",227,195,163,136,110,84,2025,mj
BY,300,"32, 42, 88",230,199,168,141,115,89,2025,mj
BZ,300,"33, 43, 89",230,199,168,141,115,89,2025,mj
CX,300,"31, 41, 97",231,202,173,145,117,90,2025,mj
CY,300,"32, 42, 98",231,202,173,145,117,90,2025,mj
CZ,300,"33, 43, 99",231,202,173,145,117,90,2025,mj
SX,150,"11, 21",–,99,83,69,56,43,2025,mj
SY,150,"12, 22",–,99,83,70,57,44,2025,mj
SZ,150,"13, 23",–,99,83,70,57,44,2025,mj
AX,300,"11, 21, 31, 41",221,192,163,136,109,82,2022,on
AY,300,"12, 22, 32, 42",221,192,163,136,109,82,2022,on
AZ,300,"13, 23, 33, 43",221,192,163,136,109,82,2022,on
BX,300,"31, 41, 87",219,190,161,134,108,82,2022,on
BXJ,150,"31, 41",107,92,77,61,45,30,2022,on
BY,300,"32, 42, 88",223,194,165,138,111,84,2022,on
BYJ,150,"32, 42",107,92,77,61,45,30,2022,on
CZ,300,"33, 43, 67",225,199,173,147,121,96,2022,on
CZN,150,"33, 43",107,92,77,61,45,30,2022,on
SX,150,"11, 21",–,97,81,68,56,44,2022,on
SY,150,"12, 22",–,97,81,68,56,44,2022,on
SZ,150,"13, 23",–,97,81,68,56,44,2022,on
AX,300,"11, 21, 31, 41",231,201,171,142,114,86,2023,on
AY,300,"12, 22, 32, 42",231,201,171,142,114,86,2023,on
AZ,300,"13, 23, 33, 43",231,201,171,142,114,86,2023,on
BX,300,"31, 41, 87",224,193,162,134,106,79,2023,on
BY,300,"32, 42, 88",226,195,164,136,109,82,2023,on
BZ,300,"33, 43, 89",226,195,164,136,109,82,2023,on
CY,300,"32, 42, 98",225,196,167,140,113,86,2023,on
CZ,300,"33, 43, 99",225,196,167,140,113,86,2023,on
SX,150,"11, 21",–,102,85,71,57,44,2023,on
SY,150,"12, 22",–,102,85,71,57,44,2023,on
SZ,150,"13, 23",–,102,85,71,57,44,2023,on
AX,300,"11, 21, 31, 41",231,200,169,141,113,85,2024,on
AY,300,"12, 22, 32, 42",231,200,169,141,113,85,2024,on
AZ,300,"13, 23, 33, 43",231,200,169,141,113,85,2024,on
BX,300,"31, 41, 87",227,193,159,132,105,79,2024,on
BY,300,"32, 42, 88",230,197,164,137,110,84,2024,on
BZ,300,"33, 43, 89",230,197,164,137,110,84,2024,on
CX,300,"31, 41, 97",232,201,170,142,114,86,2024,on
CY,300,"32, 42, 98",232,201,170,142,114,86,2024,on
CZ,300,"33, 43, 99",232,201,170,142,114,86,2024,on
SX,150,"11, 21",–,101,84,70,56,43,2024,on
SY,150,"12, 22",–,101,84,70,56,43,2024,on
SZ,150,"13, 23",–,101,84,70,56,43,2024,on
AX,300,"11, 21, 31, 41",232,202,172,144,116,89,2025,on
AY,300,"12, 22, 32, 42",232,202,172,144,116,89,2025,on
AZ,300,"13, 23, 33, 43",232,202,172,144,116,89,2025,on
