option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting,a* a,a* a.1
AY (AY1),"12, 22, 33, 42, 52",187,164.0,141,118,95,72,2022,fm,,,
AY (AY2),"12, 22, 33",–,80.0,69,57,46,35,2022,fm,,,
BY (BY1),"42, 52, 85",195,172.0,149,125,102,79,2022,fm,,,
BY (BY2),"42, 52, 88",193,170.0,147,124,101,78,2022,fm,,,
BY (BYJ),"42, 52",98,82.0,66,53,40,28,2022,fm,,,
CY (CY1),"42, 52, 95",194,170.0,146,122,99,76,2022,fm,,,
CY (CY2),"42, 52, 98",191,167.0,143,120,97,74,2022,fm,,,
CY (CYN),"42, 52",98,82.0,66,53,40,28,2022,fm,,,
DV (DV1),"12, 22, 33, 42, 52",187,164.0,141,118,95,72,2022,fm,,,
DV (DV2),"42, 52, 75",194,171.0,148,126,104,82,2022,fm,,,
DV (DV3),"42, 52, 85",195,172.0,149,125,102,79,2022,fm,,,
DV (DV4),"42, 52, 88",193,170.0,147,124,101,78,2022,fm,,,
DV (DV5),"42, 52, 95",194,170.0,146,122,99,76,2022,fm,,,
DV (DV6),"42, 52, 98",191,167.0,143,120,97,74,2022,fm,,,
DV (DV7),"12, 22, 33",–,80.0,69,57,46,35,2022,fm,,,
DV (DVJ),"42, 52",98,82.0,66,53,40,28,2022,fm,,,
DV (DVN),"42, 52",98,82.0,66,53,40,28,2022,fm,,,
EV,"42, 52, 75",194,171.0,148,126,104,82,2022,fm,,,
S3,"12, 22, 33",–,80.0,69,57,46,35,2022,fm,,,
AY,"12, 22, 33, 42, 52",190,167.0,144,122,100,79,2023,fm,260.0,,
BT1,"42, 52, 84",197,174.0,151,127,104,81,2023,fm,260.0,,
BT2,"42, 52, 87",195,172.0,149,125,101,78,2023,fm,260.0,,
BY1,"42, 52, 85",180,158.0,136,114,93,72,2023,fm,260.0,,
BY2,"42, 52, 88",182,160.0,138,116,94,73,2023,fm,260.0,,
CY1,"42, 52, 95",193,167.0,141,119,97,76,2023,fm,260.0,,
CY2,"42, 52, 98",192,166.0,140,118,96,74,2023,fm,260.0,,
EV,"42, 52, 75",182,160.0,138,116,94,72,2023,fm,260.0,,
EVM,"42, 52",92,78.0,64,52,40,28,2023,fm,130.0,,
S3,"12, 22, 33",–,87.0,75,64,53,42,2023,fm,130.0,,
AY,"12, 22, 33, 42, 52",196,175.0,154,131,109,87,2024,fm,260.0,,
BT1,"42, 52, 84",201,180.0,159,135,112,89,2024,fm,260.0,,
BT2,"42, 52, 87",202,181.0,160,137,114,91,2024,fm,260.0,,
BY1,"42, 52, 85",194,172.0,150,129,108,87,2024,fm,260.0,,
BY2,"42, 52, 88",195,173.0,151,130,109,88,2024,fm,260.0,,
CY1,"42, 52, 95",193,171.0,149,128,108,88,2024,fm,260.0,,
CY2,"42, 52, 98",195,172.0,149,128,108,88,2024,fm,260.0,,
EV,"42, 52, 75",195,172.0,149,127,105,84,2024,fm,260.0,,
S3,"12, 22, 33",–,90.0,80,68,56,45,2024,fm,130.0,,
AY,"12, 22, 33, 42, 52",206,186.0,166,144,122,100,2025,fm,260.0,,
BY1,"42, 52, 85",199,175.0,151,130,109,89,2025,fm,260.0,,
BY2,"42, 52, 88",203,179.0,155,134,113,92,2025,fm,260.0,,
CY1,"42, 52, 95",206,184.0,162,140,118,97,2025,fm,260.0,,
CY2,"42, 52, 98",206,184.0,162,140,119,98,2025,fm,260.0,,
EV,"42, 52, 75",203,182.0,161,138,115,93,2025,fm,260.0,,
S3,"12, 22, 33",–,94.0,85,74,63,52,2025,fm,130.0,,
AZ,"13, 23, 35, 43, 53",190,171.0,152,132,112,92,2022,mj,260.0,,
BW1,"41, 52, 85",195,174.0,153,129,106,83,2022,mj,260.0,,
BW2,"41, 52, 88",193,172.0,151,128,105,82,2022,mj,260.0,,
BX1,"41, 51, 84",195,173.0,151,126,101,77,2022,mj,260.0,,
BX2,"41, 51, 87",196,174.0,152,127,102,77,2022,mj,260.0,,
BXJ,"41, 51",98,84.0,70,57,44,32,2022,mj,130.0,,
BY1,"42, 52, 85",186,164.0,142,118,94,71,2022,mj,260.0,,
BY2,"42, 52, 88",184,162.0,140,116,93,70,2022,mj,260.0,,
BYJ,"42, 52",89,74.0,59,46,33,20,2022,mj,130.0,,
BZ1,"43, 53, 86",190,170.0,150,128,106,85,2022,mj,260.0,,
CP1,"43, 53, 94",181,162.0,143,123,104,85,2022,mj,260.0,,
CQ1,"41, 51, 95",194,172.0,150,126,103,80,2022,mj,260.0,,
CQ2,"41, 51, 98",191,169.0,147,124,101,78,2022,mj,260.0,,
CQN,"41, 51",98,84.0,70,57,44,32,2022,mj,130.0,,
CR1,"42, 52, 96",181,156.0,131,109,87,66,2022,mj,260.0,,
CR2,"42, 52, 99",180,156.0,132,110,88,67,2022,mj,260.0,,
CRN,"42, 52",89,74.0,59,46,33,20,2022,mj,130.0,,
CX1,"41, 51, 94",191,170.0,149,126,104,82,2022,mj,260.0,,
CY1,"42, 52, 95",185,162.0,139,115,91,68,2022,mj,260.0,,
CY2,"42, 52, 98",182,159.0,136,112,89,66,2022,mj,260.0,,
CYN,"42, 52",89,74.0,59,46,33,20,2022,mj,130.0,,
HW,"12, 22, 34, 41, 52",187,166.0,145,122,99,77,2022,mj,260.0,,
HX,"11, 21, 32, 41, 51",200,178.0,156,131,106,82,2022,mj,260.0,,
HY,"12, 22, 34, 42, 52",178,156.0,134,111,88,65,2022,mj,260.0,,
P1,50,–,54.0,45,36,27,18,2022,mj,75.0,,
P2,"50, 60",123,105.0,87,69,51,33,2022,mj,150.0,,
P3,"60, 80",127,111.0,95,78,61,45,2022,mj,150.0,,
S1,"11, 21, 31",–,94.0,82,69,56,44,2022,mj,130.0,,
S2,"11, 21, 32",–,92.0,80,67,54,41,2022,mj,130.0,,
S3,"12, 22, 33",–,78.0,67,56,45,35,2022,mj,130.0,,
S4,"12, 22, 34",–,80.0,69,58,47,36,2022,mj,130.0,,
S5,"13, 23, 35",–,93.0,82,70,59,48,2022,mj,130.0,,
AX,"11, 21, 31, 41, 51",208,183.0,158,135,113,91,2023,mj,260.0,,
AY,"12, 22, 33, 42, 52",195,171.0,147,125,104,83,2023,mj,260.0,,
AZ,"13, 23, 35, 43, 53",201,179.0,157,136,115,94,2023,mj,260.0,,
BX1,"41, 51, 84",209,182.0,155,132,110,88,2023,mj,260.0,,
BX2,"41, 51, 87",207,180.0,153,130,107,85,2023,mj,260.0,,
BY1,"42, 52, 85",186,162.0,138,116,94,73,2023,mj,260.0,,
BY2,"42, 52, 88",188,164.0,140,118,96,74,2023,mj,260.0,,
BZ1,"43, 53, 86",203,179.0,155,132,110,88,2023,mj,260.0,,
CP1,"43, 53, 94",194,172.0,150,128,106,85,2023,mj,260.0,,
CQ1,"41, 51, 95",205,175.0,145,124,103,83,2023,mj,260.0,,
CQ2,"41, 51, 98",204,174.0,144,123,102,81,2023,mj,260.0,,
CR1,"42, 52, 96",188,166.0,144,123,102,81,2023,mj,260.0,,
CR2,"42, 52, 99",186,164.0,142,121,100,79,2023,mj,260.0,,
CX1,"41, 51, 94",198,174.0,150,129,109,89,2023,mj,260.0,,
CY1,"42, 52, 95",199,171.0,143,121,99,77,2023,mj,260.0,,
CY2,"42, 52, 98",198,170.0,142,119,97,75,2023,mj,260.0,,
