option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AY,"12, 22, 32, 42",142,126,110,93,77,61,2022,fm,
BYJ,"32, 42",68,61,54,44,34,24,2022,fm,
CY,"32, 42, 98",145,129,113,96,79,62,2022,fm,
EV,"32, 42, 78",142,126,110,92,75,58,2022,fm,
SY,"12, 22",–,59,51,43,35,27,2022,fm,
AY,"12, 22, 32, 42",123,110,97,83,70,57,2024,fm,180.0
BT,"32, 42, 87",122,106,90,76,62,49,2024,fm,180.0
BY,"32, 42, 88",118,104,90,76,63,50,2024,fm,180.0
CT,"32, 42, 97",122,108,94,80,66,53,2024,fm,180.0
CY,"32, 42, 98",118,106,94,80,67,54,2024,fm,180.0
EV,"32, 42, 78",116,103,90,76,63,50,2024,fm,180.0
SY,"12, 22",–,53,47,40,34,28,2024,fm,90.0
AY,"12, 22, 32, 42",123,110,97,83,70,57,2025,fm,180.0
BT,"32, 42, 87",123,108,93,78,63,49,2025,fm,180.0
BY,"32, 42, 88",117,104,91,78,65,53,2025,fm,180.0
CY,"32, 42, 98",117,105,93,79,66,53,2025,fm,180.0
EV,"32, 42, 78",124,111,98,84,71,58,2025,fm,180.0
SY,"12, 22",–,52,46,39,33,27,2025,fm,90.0
BY,"32, 42, 88",143,127,111,96,81,67,2022,mj,200.0
BYJ,"32, 42",68,61,54,46,38,31,2022,mj,100.0
BZ,"33, 43, 89",139,121,103,87,71,56,2022,mj,200.0
BZJ,"33, 43",66,58,50,41,32,24,2022,mj,100.0
CX,"31, 41, 97",131,117,103,87,72,57,2022,mj,200.0
CXN,"31, 41",66,58,50,41,32,24,2022,mj,100.0
CY,"32, 42, 98",144,128,112,97,82,67,2022,mj,200.0
CYN,"32, 42",68,61,54,46,38,31,2022,mj,100.0
P1,50,–,45,38,32,26,20,2022,mj,75.0
P2,"50, 60",114,98,82,67,52,37,2022,mj,150.0
P3,"60, 80",129,113,97,80,63,47,2022,mj,150.0
SO,"14, 22",–,58,51,42,33,25,2022,mj,100.0
SX,"11, 21",–,61,52,43,34,25,2022,mj,100.0
SY,"12, 22",–,56,49,41,34,27,2022,mj,100.0
SZ,"13, 23",–,61,52,43,34,25,2022,mj,100.0
AW,"12, 21, 31, 42",126,110,94,80,67,54,2023,mj,180.0
AX,"11, 21, 31, 41",132,113,94,80,67,54,2023,mj,180.0
AY,"12, 22, 32, 42",124,109,94,81,69,57,2023,mj,180.0
AZ,"13, 23, 33, 43",128,111,94,81,68,55,2023,mj,180.0
BO,"32, 42, 85",128,114,100,86,72,59,2023,mj,180.0
BX,"31, 41, 87",137,119,101,86,71,57,2023,mj,180.0
BY,"32, 42, 88",126,112,98,85,72,60,2023,mj,180.0
BZ,"33, 43, 89",137,119,101,86,71,57,2023,mj,180.0
CX,"31, 41, 97",134,116,98,84,70,57,2023,mj,180.0
CY,"32, 42, 98",136,120,104,90,77,64,2023,mj,180.0
CZ,"33, 43, 99",137,120,103,89,75,61,2023,mj,180.0
DW,"31, 42, 98",136,120,104,90,76,62,2023,mj,180.0
P1,50,–,47,40,34,28,22,2023,mj,75.0
P2,"50, 60",117,102,87,72,57,42,2023,mj,150.0
P3,"60, 80",130,115,100,83,66,50,2023,mj,150.0
SW,"12, 21",–,48,40,33,26,20,2023,mj,90.0
SX,"11, 21",–,49,40,33,26,20,2023,mj,90.0
SY,"12, 22",–,47,40,33,27,21,2023,mj,90.0
SZ,"13, 23",–,47,40,33,27,21,2023,mj,90.0
AW,"11, 21, 32, 41",127,111,95,82,69,56,2024,mj,180.0
AX,"11, 21, 31, 41",129,112,95,81,68,55,2024,mj,180.0
AY,"12, 22, 32, 42",116,104,92,81,70,59,2024,mj,180.0
AZ,"13, 23, 33, 43",127,110,93,80,68,56,2024,mj,180.0
BX,"31, 41, 87",129,111,93,80,68,56,2024,mj,180.0
BY,"32, 42, 88",118,105,92,80,68,57,2024,mj,180.0
BZ,"33, 43, 89",125,109,93,81,69,57,2024,mj,180.0
CX,"31, 41, 97",129,113,97,84,72,60,2024,mj,180.0
CY,"32, 42, 98",118,107,96,84,72,61,2024,mj,180.0
CZ,"33, 43, 99",130,114,98,86,74,62,2024,mj,180.0
DW1,"11, 21, 32, 41",127,111,95,82,69,56,2024,mj,180.0
DW2,"32, 41, 86",125,109,93,81,69,57,2024,mj,180.0
DW3,"32, 41, 98",123,110,97,85,73,62,2024,mj,180.0
P2,"50, 60",117,102,87,72,57,42,2024,mj,150.0
SX,"11, 21",–,50,42,34,26,19,2024,mj,90.0
SY,"12, 22",–,46,40,34,28,23,2024,mj,90.0
SZ,"13, 23",–,48,40,33,26,20,2024,mj,90.0
AZ,"13, 23, 33, 43",121,105,89,77,66,55,2025,mj,180.0
BN,"34, 44, 88",112,101,90,79,68,58,2025,mj,180.0
BT,"32, 42, 87",123,108,93,80,67,55,2025,mj,180.0
BX,"31, 41, 87",123,107,91,78,66,54,2025,mj,180.0
BY,"32, 42, 88",117,104,91,80,69,59,2025,mj,180.0
BZ,"33, 43, 89",121,105,89,77,66,55,2025,mj,180.0
CN,"34, 44, 98",112,102,92,80,69,58,2025,mj,180.0
CX,"31, 41, 97",119,105,91,80,69,59,2025,mj,180.0
CY,"32, 42, 98",117,105,93,81,70,59,2025,mj,180.0
CZ,"33, 43, 99",120,106,92,81,70,59,2025,mj,180.0
DN,"34, 44, 88",112,101,90,79,68,58,2025,mj,180.0
P2,"50, 60",117,102,87,72,57,42,2025,mj,150.0
SC,"14, 24",–,48,41,35,29,23,2025,mj,90.0
SX,"11, 21",–,48,41,34,27,21,2025,mj,90.0
SY,"12, 22",–,49,43,36,30,24,2025,mj,90.0
SZ,"13, 23",–,48,40,33,26,20,2025,mj,90.0
BZ,"33, 43, 89",143,125,107,92,77,62,2022,on,200.0
BZJ,"33, 43",67,59,51,43,36,29,2022,on,100.0
CX,"31, 41, 97",131,118,105,91,77,64,2022,on,200.0
CXN,"31, 41",67,60,53,46,39,32,2022,on,100.0
CY,"32, 42, 98",143,126,109,94,79,65,2022,on,200.0
CYN,"32, 42",67,59,51,43,36,29,2022,on,100.0
CZ,"33, 43, 99",139,123,107,94,81,68,2022,on,200.0
CZN,"33, 43",67,59,51,43,36,29,2022,on,100.0
EV,"32, 42, 78",140,123,106,92,78,64,2022,on,200.0
EVM,"32, 42",67,59,51,43,36,29,2022,on,100.0
P1,50,–,51,42,33,24,15,2022,on,75.0
SX,"11, 21",–,58,49,41,33,25,2022,on,100.0
SY,"12, 22",–,64,56,47,39,31,2022,on,100.0
SZ,"13, 23",–,62,54,46,38,30,2022,on,100.0
AX,"11, 21, 31, 41",129,112,95,83,71,60,2023,on,180.0
AY,"12, 22, 32, 42",135,117,99,86,73,61,2023,on,180.0
AZ,"13, 23, 33, 43",130,113,96,83,70,58,2023,on,180.0
BX,"31, 41, 87",129,110,91,79,67,56,2023,on,180.0
BY,"32, 42, 88",135,115,95,82,69,57,2023,on,180.0
BZ,"33, 43, 89",125,108,91,78,65,53,2023,on,180.0
CX,"31, 41, 97",131,113,95,83,71,59,2023,on,180.0
CY,"32, 42, 98",147,126,105,91,77,64,2023,on,180.0
CZ,"33, 43, 99",134,117,100,86,72,59,2023,on,180.0
DV,"32, 42, 78",133,114,95,82,69,57,2023,on,180.0
DW,"32, 42, 86",137,116,95,82,69,56,2023,on,180.0
SX,"11, 21",–,51,44,37,30,24,2023,on,90.0
SY,"12, 22",–,49,44,37,31,25,2023,on,90.0
SZ,"13, 23",–,52,45,38,32,26,2023,on,90.0
AX,"11, 21, 31, 41",125,109,93,82,71,60,2024,on,180.0
AY,"12, 22, 32, 42",127,110,93,80,67,55,2024,on,180.0
AZ,"13, 23, 33, 43",126,110,94,81,68,56,2024,on,180.0
BX,"31, 41, 87",129,111,93,80,67,55,2024,on,180.0
BY,"32, 42, 88",127,109,91,79,67,55,2024,on,180.0
BZ,"33, 43, 89",127,109,91,78,65,52,2024,on,180.0
CX,"31, 41, 97",129,112,95,83,71,60,2024,on,180.0
CY,"32, 42, 98",129,112,95,82,69,57,2024,on,180.0
CZ,"33, 43, 99",130,113,96,83,70,58,2024,on,180.0
DV,"32, 42, 78",134,116,98,85,72,60,2024,on,180.0
GT,"32, 42, 87",133,113,93,79,65,51,2024,on,180.0
SX,"11, 21",–,48,42,36,30,24,2024,on,90.0
SY,"12, 22",–,47,42,35,29,23,2024,on,90.0
SZ,"13, 23",–,49,43,36,30,24,2024,on,90.0
AC,"14, 24, 34, 44",128,111,94,82,70,59,2025,on,180.0
AX,"11, 21, 31, 41",126,111,96,85,74,63,2025,on,180.0
AY,"12, 22, 32, 42",124,109,94,83,72,61,2025,on,180.0
AZ,"13, 23, 33, 43",126,110,94,81,68,55,2025,on,180.0
BC,"34, 44, 84",129,110,91,79,68,57,2025,on,180.0
BX,"31, 41, 87",127,109,91,79,68,57,2025,on,180.0
BY,"32, 42, 88",127,111,95,83,71,59,2025,on,180.0
BZ,"33, 43, 89",127,109,91,78,65,52,2025,on,180.0
CN,"34, 44, 98",126,109,92,80,68,57,2025,on,180.0
CX,"31, 41, 97",126,109,92,81,70,60,2025,on,180.0
CY,"32, 42, 98",124,109,94,82,70,58,2025,on,180.0
CZ,"33, 43, 99",126,110,94,81,68,56,2025,on,180.0
EV,"32, 42, 78",130,114,98,86,74,62,2025,on,180.0
SC,"14, 24",–,49,44,37,31,25,2025,on,90.0
SX,"11, 21",–,50,46,39,33,27,2025,on,90.0
SY,"12, 22",–,47,42,36,31,26,2025,on,90.0
SZ,"13, 23",–,49,43,36,29,23,2025,on,90.0
